,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,publishDayName,durationSecs
0,OOMcKd4qfCo,AMV News Chronicles,AMV - ♪ Contemporary Dog ♪ - by Hikikomori,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11931

Author(s): Hikikomori
https://www.youtube.com/channel/UCoCjX-V-PUCHc1jtpUy5TLA
 
Anime: Cowboy Bebop, Cowboy Bebop: Tengoku no Tobira, Tonari no Totoro, Rick and Morty, Ballroom e Youkoso, Neko no Ongaeshi, Kanojo to Kanojo no Neko: Everything Flows, Hyouka, Sword Art Online, Shingeki no Kyojin, Toki wo Kakeru Shoujo, Mona Lisa, Van Gogh's Portrait, The Scream, Suzumiya Haruhi no Yuuutsu, Neon Genesis Evangelion: The End of Evangelion, Golden Time, Cowboy Bebop Ein no Natsuyasumi, League of Legends, Fullmetal Alchemist, Kokoro Connect, Invincible, Seitokai Yakuindomo, Toy Story's Buzz Lightyear Poster, Kimi no Na wa., Original Art/Animation

Music: Eurythmics - Sweet Dreams (Are Made Of This)",['AMV'],2022-03-19 16:51:52+00:00,1586.0,72.0,,4.0,PT3M47S,hd,false,Saturday,227.0
1,O421QP_UkAc,AMV News Chronicles,Mix AMV - ♪ Clear sound ♪ - by espada98,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11879

Author(s): espada98 
 
Anime: Ballroom e Youkoso, Fate/Apocrypha, Kono Oto Tomare!, Jujutsu Kaisen, Shigatsu wa, Kara no Kyoukai, Nodame Cantabile, Hibike! Euphonium, Kimi no Uso, Ushoku Tensei - Isekai Ittara Honki Dasu

Music: Eternal Eclipse - Shape of Lies",['AMV'],2022-03-11 19:05:52+00:00,937.0,37.0,,3.0,PT2M53S,hd,false,Friday,173.0
2,Y7-t7QTgQws,AMV News Chronicles,Genshin Impact GMV - ♪ Impact ♪ - by Chiikaboom,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11759

Author(s): Chiikaboom
https://www.youtube.com/channel/UCR_t6KeMFqimwtvb8_uvmbQ
 
Anime: Genshin Impact

Music: Taalbi Brothers - Uccen (Remix)",['AMV'],2021-11-17 21:14:51+00:00,1025.0,41.0,,3.0,PT2M1S,hd,false,Wednesday,121.0
3,xoiYRIs3Ayw,AMV News Chronicles,Kizumonogatari AMV - ♪ Stelae ♪ - by Fnalex,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11656

Author(s): Fnalex
https://www.youtube.com/channel/UCeH49d3Y9bNCJxkM8NZagjA
 
Anime: Kizumonogatari

Music: Omri - Redo Undo",['AMV'],2021-11-14 20:54:12+00:00,1486.0,32.0,,5.0,PT3M37S,hd,false,Sunday,217.0
4,DpdVWpFav0Q,AMV News Chronicles,AMV MIX - ♪ Can't Hold Us ♪ - by DamnKazu,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=10018

Author(s): DamnKazu
https://www.youtube.com/channel/UCUA7w2jMUV54tU5giIsVC-w
 
Anime: mix

Music: Walk the Moon - Shut Up and Dance",['AMV'],2021-07-02 13:23:05+00:00,736.0,33.0,,1.0,PT2M16S,hd,false,Friday,136.0
5,SpSyOT9EiXQ,AMV News Chronicles,AMV - ♪ The Midnight Hour ♪ - by bbsnypur,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11306

Author(s): bbsnypur
https://www.youtube.com/channel/UCyg1fRg6ia-3so6iqlx040A
 
Anime: Wicked City

Music: Wolfclup - Summer Lights",['AMV'],2021-06-19 06:30:07+00:00,818.0,34.0,,6.0,PT3M30S,hd,false,Saturday,210.0
6,S3mNbNXuoZU,AMV News Chronicles,AMV - ♪ The Skeld ♪ - by Tricky,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11498

Author(s): Tricky
https://www.youtube.com/channel/UC0-kYPfVyVNhWPrqiGdadZw
 
Anime: Space Dandy, Arakawa Under The Bridge

Music: Example - Whisky Story",['AMV'],2021-06-12 08:12:15+00:00,539.0,17.0,,2.0,PT2M37S,hd,false,Saturday,157.0
7,fZX77WmzuJE,AMV News Chronicles,Evangelion AMV - ♪ ANIMA ♪ - by RadicalDreamer,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11506

Author(s): RadicalDreamer
https://www.youtube.com/channel/UCFIG2mfq4CAzn4HZAseeW4A
 
Anime: Evangelion 1.1, 2.2, 3.3, 4.4 (pv's)

Music: Midnight Consporacy, Cenob1te - Sentinel",['AMV'],2021-06-09 08:45:07+00:00,1363.0,57.0,,2.0,PT2M15S,hd,false,Wednesday,135.0
8,Vb3lg8F2Kw0,AMV News Chronicles,AMV/MIX - ♪ Drum Go Dum ♪ - by Zelda,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11519

Author(s): Zelda
https://www.youtube.com/channel/UC3e1sdGLVhdaEq5v0d0_icQ
 
Anime: mix

Music: K/DA - Drum Go Dum",['AMV'],2021-06-04 13:39:38+00:00,1267.0,45.0,,1.0,PT2M9S,hd,false,Friday,129.0
9,verSBcvATY8,AMV News Chronicles,Overlord AMV - ♪ Another World Heroes ♪ - by 9137LMX,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=10737

Author(s): 9137LMX
 
Anime: mix

Music: Curio ft. Lucy - Ten Feet (Daxten Remix)",['AMV'],2021-05-21 09:05:48+00:00,1666.0,87.0,,7.0,PT4M28S,hd,false,Friday,268.0
10,EI7Btm6XgmY,AMV News Chronicles,AMV - ♪ Our Hearts ♪ - by Æon Studios,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=6957

Author(s): xDeuz, Sunlight, gabberMD, [madaraxD], Jocker8Clz, zaheff93, MrGafudo, Strat
https://www.youtube.com/channel/UCucAGQWu4fIFpSN3__QgznA
 
Anime: Akuma NO riddle, Mirai Nikki, Zankyou no Terror, Le Portrait de Petit Cossette, Steins Gate, Fate/Zero, Fate/Stay Night (2014), Kotonoha No Niwa, Hibike! Euphonium, Suzumiya Haruhi no Shoushitsu, TASOGARE x Amnesia

Music: EXGF - We Are The Hearts",['AMV'],2021-05-17 07:21:10+00:00,308.0,20.0,,1.0,PT3M6S,hd,false,Monday,186.0
11,z-gtR8OlFOc,AMV News Chronicles,AMV - ♪ HypnoDancer ♪ - by Canbyaboy,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11039

Author(s): Canbyaboy
 
Anime: mix

Music: Little big - Hypnodance",['AMV'],2021-05-14 08:30:06+00:00,5980.0,212.0,,23.0,PT2M55S,hd,false,Friday,175.0
12,0nMNl97-_7k,AMV News Chronicles,AMV - ♪ Wait for me ♪ - by Arrow & Alyzia,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11392

Author(s): Arrow, Alyzia
https://www.youtube.com/channel/UCH-ZHzt-J6fX4Mgg2n7ctgA
https://www.youtube.com/channel/UCn72B6JQdnyISzYlvheGNvw
 
Anime: Seishun Buta Yarou wa Bunny Girl Senpai no Yume o Minai (+others)

Music: Purple Disco Machine, Sophie and the Giants - Hypnotized",['AMV'],2021-05-12 06:00:00+00:00,582.0,20.0,,3.0,PT2M41S,hd,false,Wednesday,161.0
13,3zCZwy-wL8s,AMV News Chronicles,Gintama AMV - ♪ Wake the Dead ♪ - by Fobos,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=8735

Author(s): Fobos
https://www.youtube.com/channel/UCTHL20FDVUaBEuwokgaOHOQ
 
Anime: Gintama

Music: Dangerkids - Kill Everything",['AMV'],2021-05-08 10:42:39+00:00,762.0,32.0,,1.0,PT2M50S,hd,false,Saturday,170.0
14,9nvxUP-8NN8,AMV News Chronicles,Cross-Over AMV - ♪ The Purge ♪ - by AMVLuna,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11476

Author(s): AMVLuna
https://www.youtube.com/channel/UC51lVP3mG-9EsBmlu9Kvv3g
 
Anime: Charlotte /Tokyo Ghoul / Fate Stay Night series / Kyoukai no Kanata / Fate Zero / Zankyou no Terror / Darker than Black / Kabukichou Sherlock / Mirai Nikki / Re:Zero / Boogiepop wa Warawanai / Kakegurui / Sword Art Online / SSSS.Gridman / Tsukihime Remake / Another / Guilty Crown / Satsuriku no Tenshi / Kara no Kyoukai / Corpse Party: Tortured Souls / Kamisama no Memo-chou / Death Parade / Inuyashiki

Music:  Nick Road - The Mirrors",['AMV'],2021-04-29 12:26:41+00:00,388.0,20.0,,1.0,PT2M23S,hd,false,Thursday,143.0
15,JbfgA8Ccqb0,AMV News Chronicles,AMV - ♪ Grow ♪ - by Kroner,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11479

Author(s): Kroner AMV
https://www.youtube.com/channel/UCfxKMuqtfXV4oQ5K-LHHEsw
 
Anime: Kanojo to Kanojo no Neko: Everything Flows + Various

Music: Danny Olson - Hide and Seek ft. JT Roach (Don Diablo Edit)",['AMV'],2021-04-23 07:59:02+00:00,623.0,28.0,,1.0,PT2M29S,hd,false,Friday,149.0
16,IyAHzku3pzA,AMV News Chronicles,Kimetsu no Yaiba AMV - ♪ Enflame ♪ - by ReyNeroKun,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11091

Author(s): ReyNeroKun
 
Anime: Kimetsu no Yaiba

Music: The Glitch Mob - Can't Kill Us",['AMV'],2021-04-20 10:34:26+00:00,589.0,30.0,,1.0,PT2M14S,hd,false,Tuesday,134.0
17,ClMtPFHHZVk,AMV News Chronicles,Sword Art Online AMV - ♪ Reconnecting ♪ - by Kiyoshi,"Info & DLL:https://amvnews.ru/index.php?go=Files&in=view&id=11195

Author(s): Kiyoshi
https://www.youtube.com/channel/UCrE_1NR-K3rBW9-6g0KKY-g
 
Anime: Sword Art Online: Alicization, Sword Art Online Alicization - War of Underworld, Sword Art Online, Oda Nobuna no Yabou OP, Fate Apocrypha, Shingeki no Kyojin OP, Black Clover OP, B the beginning

Music: WAKE UP HATE - I Just Don't Love You Anymore, WAKE UP HATE - Not Worth Saving",['AMV'],2021-04-17 08:49:34+00:00,442.0,21.0,,3.0,PT2M32S,hd,false,Saturday,152.0
18,G1mpKt1E_0g,AMV News Chronicles,Mahoutsukai no Yome AMV - ♪ Satans Curse ♪ - by Onleye,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11128

Author(s): Onleye
https://www.youtube.com/channel/UCpzrYKguxbmpZNv1pSubR_w
 
Anime: Mahoutsukai no Yome, Castlevania

Music: Xtortion audio - Annaliese, Attack on Titan OST - Call of Silence",['AMV'],2021-04-10 05:56:16+00:00,345.0,22.0,,2.0,PT2M44S,hd,false,Saturday,164.0
19,mwNHpf28Hq0,AMV News Chronicles,Fate AMV - ♪ Bad News/Good Night ♪ - by RadicalDreamer,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=10196

Author(s): RadicalDreamer
https://www.youtube.com/channel/UCFIG2mfq4CAzn4HZAseeW4A
 
Anime: Fate Heavens Feel/ Fate Unlimited Blade Works

Music: Apashe - Good news",['AMV'],2021-04-06 18:59:14+00:00,549.0,25.0,,3.0,PT2M5S,hd,false,Tuesday,125.0
20,avmhS-WZM1k,AMV News Chronicles,MEP/AMV - ♪ Broken Dreams ♪ - by Hell Team,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=10904

Author(s): Hell Team (David Heli, Envy, Sublime, jun, FH, KazeShin, IgorDushin
https://www.youtube.com/channel/UCCUpe94_afRHk_FRkVNKmqA
 
Anime: Gatari series, 3-gatsu no Lion, Koe no katachi, Kimi no na wa, Orange, Kotonoha no niwa, Sankarea

Music: Jez Dior - Long Sun, MASE - Psycho!",['AMV'],2021-04-02 06:55:50+00:00,233.0,13.0,,2.0,PT4M5S,hd,false,Friday,245.0
21,zmXFJ0oNVvg,AMV News Chronicles,Koe no Katachi AMV - ♪ Дора дура ♪ - by 5c0rp10n,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11001

Author(s): 5c0rp10n
https://www.youtube.com/channel/UCOJVScpCA79KGYY5VCk4fKQ
 
Anime: Koe no Katachi

Music: Дора - Дора дура",['AMV'],2021-03-29 06:06:23+00:00,334.0,18.0,,1.0,PT2M19S,hd,false,Monday,139.0
22,zN7zCse4uj4,AMV News Chronicles,Hi-Tech MEP/AMV - ♪ ReCoded ♪ - by Soul's Team,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11318

Author(s): Soul's Team(AMVLuna, Dn@, DamnKazu, Zelda, PikaPika, Sagiki, Sempai3607)
https://www.youtube.com/channel/UCW5S2VdDXF_HroYXuV16UUg
 
Anime: Sword Art Online, To Aru Kagaku no Railgun, Darling in the Franxx, Persona 5, Zankyou no Terror, Toki wo Kakeru Shojo (+others)

Music: Carpenter Brut - Turbo Killer, Ryan Little - Pin Drop",['AMV'],2021-03-23 21:54:09+00:00,303.0,25.0,,4.0,PT3M29S,hd,false,Tuesday,209.0
23,Csvhd8YZhBc,AMV News Chronicles,Beastars AMV - ♪ Bitter Almonds ♪ - by DrPenguin,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=10972

Author: DrPenguin
https://www.youtube.com/channel/UCSmpZ0WBDDgHVj2pCtxuq9Q
 
Anime: Beastars

Music: The Correspondents - Fear & Delight",['AMV'],2021-03-21 07:45:37+00:00,288.0,24.0,,1.0,PT3M8S,hd,false,Sunday,188.0
24,2uxssRgKFW8,AMV News Chronicles,BERSERK AMV - ♪ Eternal Hiatus ♪ - by Hamasaki,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=10825

Author: Hamasaki
https://www.youtube.com/channel/UC40iKusIMPV17BaKf1b2VNQ
 
Anime: Berserk: The Golden Age Arc I - The Egg of the King, Berserk: The Golden Age Arc II - The Battle for Doldrey, Berserk: The Golden Age Arc III - The Advent

Music: DOOM Eternal - Official Trailer 2 (Mick Gordon)",['AMV'],2021-03-19 11:22:43+00:00,1275.0,24.0,,1.0,PT2M24S,hd,true,Friday,144.0
25,opaRb5py7yE,AMV News Chronicles,Kakegurui AMV - ♪ Toxic ♪ - by JazzsVids,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=10420

Author: JazzsVids
https://www.youtube.com/channel/UCD5qBVJ_o2zsyepPre33Nbg
 
Anime: Kakegurui, +Various

Music: Toxic (Britney Spears cover) - 2WEI",['AMV'],2021-03-18 15:52:37+00:00,318.0,24.0,,1.0,PT3M11S,hd,false,Thursday,191.0
26,GJZI-vSdqnU,AMV News Chronicles,KonoSuba AMV - ♪ StupiD ♪ - by Padre,"Info & DLL: https://amvnews.ru/index.php?go=Files&in=view&id=11152

Author: Padre
https://www.youtube.com/channel/UC6kc9loO6bYXnpzHEL5cqIA
 
Anime: KonoSuba

Music: Mindless self indulgence - Lights out",['AMV'],2021-03-16 18:04:27+00:00,546.0,38.0,,4.0,PT2M39S,hd,false,Tuesday,159.0
27,22PtFSzhq1I,AMV News Chronicles,K/DA MEP/AMV - ♪ D.VA ♪ - by Hurrican Squad,"Info & DLL: http://amvnews.ru/index.php?go=Files&in=view&id=11385

Author: Hurrican Squad (Glave, Crows Corvus, H4WK, Keintseru, Redassaut, Katsuki)
https://www.youtube.com/channel/UCwBJyzCGal4myuEXphkYVJQ
 
Anime: Shokugeki no Soma, Kakegurui, Michiko to Hatchin, Bakemonogatari, Kurokami, Tengen Toppa Gurren Lagann Kirameki Youko Box: Pieces of Sweet Stars

Music: K/DA - Baddest, Chancellor - Automatic",['AMV'],2021-03-14 07:27:54+00:00,443.0,28.0,,2.0,PT3M8S,hd,false,Sunday,188.0
28,EUT_XF7IP4A,AMV News Chronicles,Cross-Over AMV - ♪ Void Eternal ♪ - by JazzsVids,"Info & DLL: http://amvnews.ru/index.php?go=Files&in=view&id=11177

Author: JazzsVids
https://www.youtube.com/channel/UCD5qBVJ_o2zsyepPre33Nbg
 
Anime: SSSS.Gridman, Psycho Pass, Inuyashiki, Blade Runner Black Out, Akria, Your Name, Once Punch Man, Punchline, Earth Maiden Arjuna, Re: Cyborg, Aldnoah Zero, Terror in Resonance, Juushinki Pandora, Ingress The Animation, Fate/Zero, 7th Aeon (Animated Short), Sci-fi City - Masashi Imagawa, Rave up Vaporwave Project - Wann, Magnatron 2.0 - Florian Renner, Cyberpunk 2077, NEON RetroFest Promo, Futuristic City - Jaime Jasso, Tears in the Rain (Short Film) - REELVISION

Music: Gunship - Maximum Black",['AMV'],2021-03-11 22:29:40+00:00,243.0,19.0,,0.0,PT3M40S,hd,false,Thursday,220.0
29,EBCp3uvigNY,AMV News Chronicles,Kaguya-sama AMV - ♪ The Secret ♪ - by S†eelshine,"Info & DLL: http://amvnews.ru/index.php?go=Files&in=view&id=11357

Author: S†eelshine 
https://www.youtube.com/channel/UCzK-EZzzuD05xto2yt3425A
 
Anime: Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen

Music: Denmark + Winter - Secret; Electro Alley - Family Tree",['AMV'],2021-03-10 13:01:17+00:00,331.0,18.0,,0.0,PT3M27S,hd,false,Wednesday,207.0
30,DzNXvEaplss,AMV News Chronicles,MAD/AMV - ♪ Vivid Lights ♪ - by Fury,"Info & DLL: http://amvnews.ru/index.php?go=Files&in=view&id=11276

Author: Fury
https://www.youtube.com/channel/UCtyQ-htDIvug6qaO84GJzIw
 
Anime:  BLAME!, Uncharted, Walker, Banana Fish, Charlotte, Garo Vanishing Line, Gatchaman Crowds, Kekkai Sensen, K-ON!, Sousei no Onmyouji, Sword Art Online Ordinal Scale, Toaru Kagaku no Railgun S, Tokyo Ghoul, Zankyou no Terror, Project-K, B The Beginning, Free!, Blood Blockade Battlefront, Death Parade, PERSONA 5, Psycho-Pass, ID:INVADED, Detroit Metal City, FATE UBW, GHOST IN THE SHELL, Kyoukai no Kanata, Mekaku City Actors, The God of High School, Bungou Stray Dogs, Code：Breaker, Durarara!, Listeners, CHRONICLE, Strike the Blood, Dimension W, Fuuka, Nanatsu no Taizai, Freak Kitchen - Freak of the Week, BUMP OF CHICKEN, SOUNDS & FURY, League of Legends

Music: Scandroid - Dreams in Neo-Tokyo",['AMV'],2021-03-08 19:03:46+00:00,319.0,27.0,,5.0,PT3M11S,hd,false,Monday,191.0
31,bR0E4LYGItE,AMV News Chronicles,Soul Eater MAD/MMV - ♪ Manic Melody ♪ - by BecauseImBored1,"Info & DLL: http://amvnews.ru/index.php?go=Files&in=view&id=10403

Author: BecauseImBored1
https://www.youtube.com/channel/UCimqNLlvX9XdU1XOV7LtIMQ
 
Anime: Soul Eater(manga)

Music: Panic! At The Disco - Let's Kill Tonight",['AMV'],2021-03-07 08:40:55+00:00,452.0,27.0,,4.0,PT2M49S,hd,false,Sunday,169.0
